ID,total_read_counts_virema,total_read_counts_ditector,sample,start,end,DVG_type
12128_12148,0,2,P1,12128,12148,5cb/sb
12052_12140,3,0,P1,12052,12140,5cb/sb
12099_12140,0,1,P1,12099,12140,5cb/sb
12124_12152,2,0,P1,12124,12152,5cb/sb
12125_12172,1,0,P1,12125,12172,5cb/sb
12119_12178,0,1,P1,12119,12178,5cb/sb
12165_12179,0,2,P1,12165,12179,5cb/sb
9999_12201,0,2,P1,9999,12201,5cb/sb
8773_12202,1,1,P1,8773,12202,5cb/sb
12208_12363,1,1,P1,12208,12363,5cb/sb
12210_30538,0,1,P1,12210,30538,5cb/sb
12220_12258,0,1,P1,12220,12258,5cb/sb
12228_12361,0,2,P1,12228,12361,5cb/sb
12217_12261,1,0,P1,12217,12261,5cb/sb
12309_12498,2,0,P1,12309,12498,5cb/sb
12355_30624,0,1,P1,12355,30624,5cb/sb
12222_12367,1,0,P1,12222,12367,5cb/sb
12368_12381,1,1,P1,12368,12381,5cb/sb
12372_12483,5,5,P1,12372,12483,5cb/sb
12374_12481,1,1,P1,12374,12481,5cb/sb
12364_12385,1,0,P1,12364,12385,5cb/sb
1238_1290,0,3,P1,1238,1290,5cb/sb
1238_1306,1,0,P1,1238,1306,5cb/sb
12402_12429,0,1,P1,12402,12429,5cb/sb
12407_12424,0,1,P1,12407,12424,5cb/sb
1245_1270,2,0,P1,1245,1270,5cb/sb
12386_12469,0,2,P1,12386,12469,5cb/sb
1246_1282,3,7,P1,1246,1282,5cb/sb
12383_12472,0,1,P1,12383,12472,5cb/sb
12375_12480,1,1,P1,12375,12480,5cb/sb
12302_12505,0,2,P1,12302,12505,5cb/sb
1252_1263,0,1,P1,1252,1263,5cb/sb
12657_12671,0,2,P1,12657,12671,5cb/sb
12687_12732,0,2,P1,12687,12732,5cb/sb
12694_12726,5,3,P1,12694,12726,5cb/sb
12698_12722,0,1,P1,12698,12722,5cb/sb
12702_12718,6,8,P1,12702,12718,5cb/sb
1270_25220,0,1,P1,1270,25220,5cb/sb
1243_1272,0,2,P1,1243,1272,5cb/sb
12730_12752,0,1,P1,12730,12752,5cb/sb
12680_12737,0,1,P1,12680,12737,5cb/sb
12820_26424,0,1,P1,12820,26424,5cb/sb
12846_12874,1,0,P1,12846,12874,5cb/sb
12875_24268,0,1,P1,12875,24268,5cb/sb
12841_12879,0,1,P1,12841,12879,5cb/sb
1239_1289,5,0,P1,1239,1289,5cb/sb
1237_1291,3,1,P1,1237,1291,5cb/sb
645_1293,0,1,P1,645,1293,5cb/sb
8728_12994,0,1,P1,8728,12994,5cb/sb
13025_13192,1,0,P1,13025,13192,5cb/sb
1242_1302,0,1,P1,1242,1302,5cb/sb
12987_13033,0,1,P1,12987,13033,5cb/sb
13041_13063,1,2,P1,13041,13063,5cb/sb
13048_13056,0,1,P1,13048,13056,5cb/sb
13039_13065,2,0,P1,13039,13065,5cb/sb
13079_13117,0,1,P1,13079,13117,5cb/sb
1308_7995,0,9,P1,1308,7995,5cb/sb
13136_30534,0,1,P1,13136,30534,5cb/sb
13137_13178,0,1,P1,13137,13178,5cb/sb
13183_30021,0,1,P1,13183,30021,5cb/sb
13129_13186,1,0,P1,13129,13186,5cb/sb
13021_13196,1,2,P1,13021,13196,5cb/sb
13217_13242,0,1,P1,13217,13242,5cb/sb
13262_13319,2,1,P1,13262,13319,5cb/sb
13267_13314,0,1,P1,13267,13314,5cb/sb
13335_29456,0,1,P1,13335,29456,5cb/sb
13344_13375,1,0,P1,13344,13375,5cb/sb
730_13382,0,1,P1,730,13382,5cb/sb
728_13384,0,1,P1,728,13384,5cb/sb
13513_13538,0,2,P1,13513,13538,5cb/sb
5942_13521,0,1,P1,5942,13521,5cb/sb
13548_13759,0,2,P1,13548,13759,5cb/sb
13553_13755,0,1,P1,13553,13755,5cb/sb
13562_13746,1,1,P1,13562,13746,5cb/sb
13569_13619,0,1,P1,13569,13619,5cb/sb
1357_3654,0,1,P1,1357,3654,5cb/sb
1357_7638,0,1,P1,1357,7638,5cb/sb
13332_13582,0,2,P1,13332,13582,5cb/sb
1358_3655,0,1,P1,1358,3655,5cb/sb
13595_13651,0,2,P1,13595,13651,5cb/sb
1359_3654,0,370,P1,1359,3654,5cb/sb
13602_21848,0,1,P1,13602,21848,5cb/sb
1360_17393,0,234,P1,1360,17393,5cb/sb
13611_13638,0,1,P1,13611,13638,5cb/sb
13564_13624,1,0,P1,13564,13624,5cb/sb
1363_7409,0,2,P1,1363,7409,5cb/sb
13605_13644,1,0,P1,13605,13644,5cb/sb
13594_13652,2,0,P1,13594,13652,5cb/sb
1365_27581,0,6,P1,1365,27581,5cb/sb
1366_13134,0,1,P1,1366,13134,5cb/sb
1368_22321,0,1,P1,1368,22321,5cb/sb
1368_3407,0,82,P1,1368,3407,5cb/sb
1369_3406,0,52,P1,1369,3406,5cb/sb
13729_22895,1,1,P1,13729,22895,5cb/sb
1372_3403,0,5,P1,1372,3403,5cb/sb
3853_13731,0,1,P1,3853,13731,5cb/sb
13736_13842,0,1,P1,13736,13842,5cb/sb
13739_13839,1,2,P1,13739,13839,5cb/sb
13558_13750,0,1,P1,13558,13750,5cb/sb
13817_13942,4,2,P1,13817,13942,5cb/sb
13831_13896,1,0,P1,13831,13896,5cb/sb
13835_13892,0,1,P1,13835,13892,5cb/sb
13827_13934,0,2,P1,13827,13934,5cb/sb
13822_13939,2,0,P1,13822,13939,5cb/sb
13816_13943,0,1,P1,13816,13943,5cb/sb
13814_13945,0,1,P1,13814,13945,5cb/sb
13813_13946,0,1,P1,13813,13946,5cb/sb
13812_13947,0,3,P1,13812,13947,5cb/sb
139_358,3,0,P1,139,358,5cb/sb
13958_14040,1,1,P1,13958,14040,5cb/sb
13956_14045,0,1,P1,13956,14045,5cb/sb
13949_14052,2,1,P1,13949,14052,5cb/sb
14078_14244,0,1,P1,14078,14244,5cb/sb
14081_14163,0,1,P1,14081,14163,5cb/sb
14086_14159,1,0,P1,14086,14159,5cb/sb
14173_21730,0,1,P1,14173,21730,5cb/sb
14148_14252,1,1,P1,14148,14252,5cb/sb
14286_14288,1,0,P1,14286,14288,5cb/sb
1428_1456,0,2,P1,1428,1456,5cb/sb
14293_14354,1,1,P1,14293,14354,5cb/sb
14296_14351,1,1,P1,14296,14351,5cb/sb
14268_14305,0,1,P1,14268,14305,5cb/sb
14311_14336,0,1,P1,14311,14336,5cb/sb
14306_14341,1,0,P1,14306,14341,5cb/sb
14403_14404,0,1,P1,14403,14404,5cb/sb
14454_14480,0,1,P1,14454,14480,5cb/sb
14473_30280,0,1,P1,14473,30280,5cb/sb
14452_14482,1,0,P1,14452,14482,5cb/sb
14483_14534,1,1,P1,14483,14534,5cb/sb
14487_14530,1,1,P1,14487,14530,5cb/sb
14502_14983,1,1,P1,14502,14983,5cb/sb
14130_14570,0,1,P1,14130,14570,5cb/sb
14574_14584,1,0,P1,14574,14584,5cb/sb
14568_14590,0,1,P1,14568,14590,5cb/sb
1460_12135,0,2,P1,1460,12135,5cb/sb
1421_1463,1,0,P1,1421,1463,5cb/sb
14662_14663,0,1,P1,14662,14663,5cb/sb
14655_14670,1,0,P1,14655,14670,5cb/sb
14654_14677,0,1,P1,14654,14677,5cb/sb
146_19854,0,1,P1,146,19854,5cb/sb
14650_14705,1,1,P1,14650,14705,5cb/sb
1474_29920,0,1,P1,1474,29920,5cb/sb
14365_14768,0,1,P1,14365,14768,5cb/sb
14851_30338,1,1,P1,14851,30338,5cb/sb
148_349,6,3,P1,148,349,5cb/sb
14880_14901,1,1,P1,14880,14901,5cb/sb
14910_24303,0,1,P1,14910,24303,5cb/sb
14935_15010,1,1,P1,14935,15010,5cb/sb
14947_14992,0,3,P1,14947,14992,5cb/sb
14948_14991,0,1,P1,14948,14991,5cb/sb
14953_14986,1,0,P1,14953,14986,5cb/sb
14959_14980,1,0,P1,14959,14980,5cb/sb
14722_14979,0,2,P1,14722,14979,5cb/sb
14958_14981,0,1,P1,14958,14981,5cb/sb
14943_14996,3,1,P1,14943,14996,5cb/sb
14930_15015,1,0,P1,14930,15015,5cb/sb
15015_15026,0,1,P1,15015,15026,5cb/sb
15143_15187,0,1,P1,15143,15187,5cb/sb
15161_28841,0,3,P1,15161,28841,5cb/sb
15145_15185,1,0,P1,15145,15185,5cb/sb
1521_1538,0,2,P1,1521,1538,5cb/sb
15224_15283,2,4,P1,15224,15283,5cb/sb
15240_15267,0,1,P1,15240,15267,5cb/sb
15281_19964,1,1,P1,15281,19964,5cb/sb
11717_15287,0,2,P1,11717,15287,5cb/sb
15219_15288,2,0,P1,15219,15288,5cb/sb
15302_30033,1,1,P1,15302,30033,5cb/sb
15341_15360,0,2,P1,15341,15360,5cb/sb
1539_4408,0,1,P1,1539,4408,5cb/sb
15448_15467,0,1,P1,15448,15467,5cb/sb
15522_15597,0,1,P1,15522,15597,5cb/sb
15529_15590,1,1,P1,15529,15590,5cb/sb
15550_15568,4,3,P1,15550,15568,5cb/sb
15556_15562,0,4,P1,15556,15562,5cb/sb
15552_15566,0,1,P1,15552,15566,5cb/sb
15546_15572,1,0,P1,15546,15572,5cb/sb
15586_15746,1,2,P1,15586,15746,5cb/sb
1558_1790,0,1,P1,1558,1790,5cb/sb
15592_15740,4,2,P1,15592,15740,5cb/sb
15525_15594,1,0,P1,15525,15594,5cb/sb
1565_1783,1,0,P1,1565,1783,5cb/sb
15708_21234,0,1,P1,15708,21234,5cb/sb
15727_15935,2,2,P1,15727,15935,5cb/sb
15738_15919,0,1,P1,15738,15919,5cb/sb
15588_15744,0,1,P1,15588,15744,5cb/sb
15745_15912,1,0,P1,15745,15912,5cb/sb
15795_15814,0,2,P1,15795,15814,5cb/sb
15796_15819,0,1,P1,15796,15819,5cb/sb
15799_15810,0,2,P1,15799,15810,5cb/sb
15827_15934,0,1,P1,15827,15934,5cb/sb
15830_15931,1,0,P1,15830,15931,5cb/sb
15899_29459,0,1,P1,15899,29459,5cb/sb
15921_15939,2,1,P1,15921,15939,5cb/sb
15825_15936,1,1,P1,15825,15936,5cb/sb
15916_15944,0,2,P1,15916,15944,5cb/sb
16018_16079,3,2,P1,16018,16079,5cb/sb
15552_16071,0,1,P1,15552,16071,5cb/sb
16083_16121,1,1,P1,16083,16121,5cb/sb
16086_16118,0,1,P1,16086,16118,5cb/sb
16088_16116,0,1,P1,16088,16116,5cb/sb
16078_16126,1,0,P1,16078,16126,5cb/sb
16128_16276,0,1,P1,16128,16276,5cb/sb
16135_16269,0,1,P1,16135,16269,5cb/sb
16149_16179,0,1,P1,16149,16179,5cb/sb
5734_16151,0,1,P1,5734,16151,5cb/sb
16154_16171,0,2,P1,16154,16171,5cb/sb
16191_16209,0,2,P1,16191,16209,5cb/sb
16137_16267,0,1,P1,16137,16267,5cb/sb
1049_1631,0,1,P1,1049,1631,5cb/sb
16330_19737,0,1,P1,16330,19737,5cb/sb
16337_21053,0,1,P1,16337,21053,5cb/sb
16366_16441,1,1,P1,16366,16441,5cb/sb
16370_16437,0,1,P1,16370,16437,5cb/sb
16373_16573,0,1,P1,16373,16573,5cb/sb
16067_16381,0,1,P1,16067,16381,5cb/sb
16384_16562,0,2,P1,16384,16562,5cb/sb
16461_16498,1,1,P1,16461,16498,5cb/sb
16478_30730,0,1,P1,16478,30730,5cb/sb
16479_19565,0,1,P1,16479,19565,5cb/sb
16481_16804,0,1,P1,16481,16804,5cb/sb
16557_16564,1,0,P1,16557,16564,5cb/sb
16558_16596,7,2,P1,16558,16596,5cb/sb
16559_16595,0,1,P1,16559,16595,5cb/sb
16562_16592,0,3,P1,16562,16592,5cb/sb
16381_16565,0,1,P1,16381,16565,5cb/sb
16565_16589,0,4,P1,16565,16589,5cb/sb
16376_16570,0,1,P1,16376,16570,5cb/sb
16571_16737,0,1,P1,16571,16737,5cb/sb
16572_16582,0,1,P1,16572,16582,5cb/sb
16581_16728,1,0,P1,16581,16728,5cb/sb
165_19737,0,2,P1,165,19737,5cb/sb
16646_16673,0,1,P1,16646,16673,5cb/sb
16740_16805,2,1,P1,16740,16805,5cb/sb
16743_16802,0,1,P1,16743,16802,5cb/sb
16743_25849,0,1,P1,16743,25849,5cb/sb
16746_16799,0,2,P1,16746,16799,5cb/sb
16750_16793,0,1,P1,16750,16793,5cb/sb
16748_16795,1,0,P1,16748,16795,5cb/sb
16803_16830,0,2,P1,16803,16830,5cb/sb
16477_16808,1,0,P1,16477,16808,5cb/sb
16810_16823,0,1,P1,16810,16823,5cb/sb
16810_17004,0,1,P1,16810,17004,5cb/sb
16805_16828,1,0,P1,16805,16828,5cb/sb
16874_26390,0,1,P1,16874,26390,5cb/sb
16814_16887,1,0,P1,16814,16887,5cb/sb
16925_17114,0,2,P1,16925,17114,5cb/sb
17059_17138,0,3,P1,17059,17138,5cb/sb
17066_17131,1,0,P1,17066,17131,5cb/sb
1711_1748,0,4,P1,1711,1748,5cb/sb
17057_17140,1,0,P1,17057,17140,5cb/sb
17231_17268,0,2,P1,17231,17268,5cb/sb
17231_17271,0,1,P1,17231,17271,5cb/sb
17294_17315,0,1,P1,17294,17315,5cb/sb
17306_17325,0,1,P1,17306,17325,5cb/sb
17298_17333,1,0,P1,17298,17333,5cb/sb
17369_17390,0,1,P1,17369,17390,5cb/sb
17391_22101,0,1,P1,17391,22101,5cb/sb
17392_28199,0,1,P1,17392,28199,5cb/sb
17290_17465,0,1,P1,17290,17465,5cb/sb
1708_1751,2,0,P1,1708,1751,5cb/sb
17555_17574,4,1,P1,17555,17574,5cb/sb
17560_17569,0,3,P1,17560,17569,5cb/sb
17561_17568,0,1,P1,17561,17568,5cb/sb
17565_30142,0,1,P1,17565,30142,5cb/sb
17606_17615,0,1,P1,17606,17615,5cb/sb
17607_17614,0,1,P1,17607,17614,5cb/sb
17610_17611,0,1,P1,17610,17611,5cb/sb
17603_17618,0,1,P1,17603,17618,5cb/sb
1764_1825,0,1,P1,1764,1825,5cb/sb
17540_17653,1,1,P1,17540,17653,5cb/sb
17700_17740,0,1,P1,17700,17740,5cb/sb
17723_17769,0,2,P1,17723,17769,5cb/sb
17728_17765,2,2,P1,17728,17765,5cb/sb
17729_17764,1,1,P1,17729,17764,5cb/sb
17734_17759,0,1,P1,17734,17759,5cb/sb
17738_17755,0,2,P1,17738,17755,5cb/sb
1773_1816,0,2,P1,1773,1816,5cb/sb
17694_17746,1,0,P1,17694,17746,5cb/sb
355_17750,0,1,P1,355,17750,5cb/sb
17733_17760,2,0,P1,17733,17760,5cb/sb
17727_17766,2,0,P1,17727,17766,5cb/sb
1316_17847,2,0,P1,1316,17847,5cb/sb
17856_17909,0,1,P1,17856,17909,5cb/sb
13524_17857,0,1,P1,13524,17857,5cb/sb
1785_2469,0,1,P1,1785,2469,5cb/sb
17864_17901,0,1,P1,17864,17901,5cb/sb
6619_17868,0,1,P1,6619,17868,5cb/sb
17853_17912,2,0,P1,17853,17912,5cb/sb
17930_17970,0,2,P1,17930,17970,5cb/sb
17936_17964,2,0,P1,17936,17964,5cb/sb
16418_17937,0,1,P1,16418,17937,5cb/sb
17940_17960,0,2,P1,17940,17960,5cb/sb
17945_30327,0,2,P1,17945,30327,5cb/sb
17942_17958,0,2,P1,17942,17958,5cb/sb
17937_17963,4,0,P1,17937,17963,5cb/sb
17979_18049,0,1,P1,17979,18049,5cb/sb
17981_29406,0,1,P1,17981,29406,5cb/sb
16325_18068,2,2,P1,16325,18068,5cb/sb
18068_27453,1,1,P1,18068,27453,5cb/sb
18113_18139,0,1,P1,18113,18139,5cb/sb
2571_18125,0,1,P1,2571,18125,5cb/sb
18121_18131,0,1,P1,18121,18131,5cb/sb
11869_18134,0,1,P1,11869,18134,5cb/sb
18200_25972,1,1,P1,18200,25972,5cb/sb
18211_18213,0,2,P1,18211,18213,5cb/sb
1768_1821,3,0,P1,1768,1821,5cb/sb
18237_18331,0,1,P1,18237,18331,5cb/sb
9985_18268,0,2,P1,9985,18268,5cb/sb
2179_18330,0,1,P1,2179,18330,5cb/sb
18234_18334,1,0,P1,18234,18334,5cb/sb
18336_30461,0,1,P1,18336,30461,5cb/sb
8529_18338,0,1,P1,8529,18338,5cb/sb
18396_18453,0,1,P1,18396,18453,5cb/sb
18397_29920,0,3,P1,18397,29920,5cb/sb
18401_18448,0,1,P1,18401,18448,5cb/sb
18398_18451,1,0,P1,18398,18451,5cb/sb
280_18464,0,1,P1,280,18464,5cb/sb
18464_29867,0,1,P1,18464,29867,5cb/sb
15032_18467,3,3,P1,15032,18467,5cb/sb
18487_18508,0,2,P1,18487,18508,5cb/sb
1746_18492,0,1,P1,1746,18492,5cb/sb
722_18493,0,2,P1,722,18493,5cb/sb
18523_18551,0,1,P1,18523,18551,5cb/sb
18525_18549,0,1,P1,18525,18549,5cb/sb
18539_18547,0,1,P1,18539,18547,5cb/sb
18534_18552,1,0,P1,18534,18552,5cb/sb
18554_25972,1,1,P1,18554,25972,5cb/sb
18555_25971,0,1,P1,18555,25971,5cb/sb
1052_18560,0,1,P1,1052,18560,5cb/sb
18561_27514,0,1,P1,18561,27514,5cb/sb
7118_18608,0,1,P1,7118,18608,5cb/sb
1869_22493,0,1,P1,1869,22493,5cb/sb
1870_6970,0,1,P1,1870,6970,5cb/sb
18749_27411,0,1,P1,18749,27411,5cb/sb
18663_18759,2,2,P1,18663,18759,5cb/sb
10880_18788,1,1,P1,10880,18788,5cb/sb
18774_18815,0,1,P1,18774,18815,5cb/sb
18895_18922,0,2,P1,18895,18922,5cb/sb
18898_18919,2,0,P1,18898,18919,5cb/sb
18942_19011,0,1,P1,18942,19011,5cb/sb
18944_19010,0,1,P1,18944,19010,5cb/sb
18950_19003,0,1,P1,18950,19003,5cb/sb
18950_28910,1,1,P1,18950,28910,5cb/sb
4408_18954,0,1,P1,4408,18954,5cb/sb
5868_18973,0,1,P1,5868,18973,5cb/sb
18996_29933,2,2,P1,18996,29933,5cb/sb
18946_19007,2,0,P1,18946,19007,5cb/sb
19011_29445,0,1,P1,19011,29445,5cb/sb
18941_19013,1,0,P1,18941,19013,5cb/sb
19047_19073,0,1,P1,19047,19073,5cb/sb
7329_19053,0,1,P1,7329,19053,5cb/sb
19042_19078,1,0,P1,19042,19078,5cb/sb
19086_19108,1,1,P1,19086,19108,5cb/sb
19089_19105,0,2,P1,19089,19105,5cb/sb
19095_19241,1,1,P1,19095,19241,5cb/sb
19091_19103,1,0,P1,19091,19103,5cb/sb
19119_19186,0,2,P1,19119,19186,5cb/sb
19123_19183,1,0,P1,19123,19183,5cb/sb
19126_19167,0,1,P1,19126,19167,5cb/sb
13842_19146,0,1,P1,13842,19146,5cb/sb
19168_19325,1,0,P1,19168,19325,5cb/sb
19120_19186,1,1,P1,19120,19186,5cb/sb
10904_19201,0,1,P1,10904,19201,5cb/sb
19205_19264,0,1,P1,19205,19264,5cb/sb
15216_19206,0,1,P1,15216,19206,5cb/sb
19212_21949,0,1,P1,19212,21949,5cb/sb
19217_19253,1,0,P1,19217,19253,5cb/sb
19228_19253,1,2,P1,19228,19253,5cb/sb
19226_19255,2,1,P1,19226,19255,5cb/sb
19300_25971,0,2,P1,19300,25971,5cb/sb
6832_19308,0,1,P1,6832,19308,5cb/sb
7523_19314,0,1,P1,7523,19314,5cb/sb
19158_19333,0,1,P1,19158,19333,5cb/sb
19340_19406,11,2,P1,19340,19406,5cb/sb
19342_19404,0,1,P1,19342,19404,5cb/sb
19344_19402,0,1,P1,19344,19402,5cb/sb
19346_19400,0,5,P1,19346,19400,5cb/sb
19347_19399,0,3,P1,19347,19399,5cb/sb
19352_19394,1,0,P1,19352,19394,5cb/sb
19380_19639,0,1,P1,19380,19639,5cb/sb
19124_19398,0,1,P1,19124,19398,5cb/sb
5039_19433,0,2,P1,5039,19433,5cb/sb
19436_19466,1,0,P1,19436,19466,5cb/sb
12136_19451,0,1,P1,12136,19451,5cb/sb
19452_19480,0,1,P1,19452,19480,5cb/sb
19439_19463,0,1,P1,19439,19463,5cb/sb
19477_20768,0,3,P1,19477,20768,5cb/sb
19450_19482,1,0,P1,19450,19482,5cb/sb
19496_19565,0,1,P1,19496,19565,5cb/sb
19507_19553,0,1,P1,19507,19553,5cb/sb
10152_19508,0,1,P1,10152,19508,5cb/sb
19510_19549,0,1,P1,19510,19549,5cb/sb
19514_19545,1,0,P1,19514,19545,5cb/sb
19529_20193,0,1,P1,19529,20193,5cb/sb
19536_19540,0,1,P1,19536,19540,5cb/sb
19518_19541,0,1,P1,19518,19541,5cb/sb
19443_19548,0,2,P1,19443,19548,5cb/sb
19548_19604,0,3,P1,19548,19604,5cb/sb
19433_19551,4,4,P1,19433,19551,5cb/sb
19488_19554,0,3,P1,19488,19554,5cb/sb
19433_19558,2,0,P1,19433,19558,5cb/sb
19492_19569,1,0,P1,19492,19569,5cb/sb
19584_30743,0,1,P1,19584,30743,5cb/sb
19545_19607,3,0,P1,19545,19607,5cb/sb
19649_19687,0,1,P1,19649,19687,5cb/sb
15313_19658,0,1,P1,15313,19658,5cb/sb
19662_29276,0,1,P1,19662,29276,5cb/sb
19663_19963,2,2,P1,19663,19963,5cb/sb
3685_19670,0,1,P1,3685,19670,5cb/sb
19694_19724,0,1,P1,19694,19724,5cb/sb
19703_19716,0,1,P1,19703,19716,5cb/sb
1842_19754,0,1,P1,1842,19754,5cb/sb
19793_19910,0,1,P1,19793,19910,5cb/sb
19794_19909,0,1,P1,19794,19909,5cb/sb
19805_19906,0,1,P1,19805,19906,5cb/sb
19821_19889,0,1,P1,19821,19889,5cb/sb
19829_19881,1,1,P1,19829,19881,5cb/sb
19835_19875,0,1,P1,19835,19875,5cb/sb
19823_19887,2,0,P1,19823,19887,5cb/sb
19888_29105,0,1,P1,19888,29105,5cb/sb
1664_19895,0,1,P1,1664,19895,5cb/sb
13462_19907,0,1,P1,13462,19907,5cb/sb
19803_19908,1,1,P1,19803,19908,5cb/sb
19916_19954,0,1,P1,19916,19954,5cb/sb
19918_19952,0,1,P1,19918,19952,5cb/sb
19666_19960,0,2,P1,19666,19960,5cb/sb
